date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-06-16,22142.0,140525.0,898.0,117900.0,2952.2666666666664,18736.666666666668,0.13333333333333333,509.266,101.85320000000002,1873.6666666666667,1.1086186540731995,0.006390276532456627
2020-06-17,22244.0,141408.0,883.0,118679.0,2965.866666666667,18854.4,0.13333333333333333,511.61199999999997,102.3224,1885.44,0.982373678025852,0.006244298453422342
2020-06-18,22350.0,142332.0,924.0,119494.0,2980.0,18977.6,0.13333333333333333,514.05,102.81,1897.76,1.0217669654289372,0.0064918184820104965
2020-06-19,22385.0,143224.0,892.0,120349.0,2984.6666666666665,19096.533333333333,0.13333333333333333,514.855,102.971,1909.6533333333334,1.0061124694376529,0.006227962995287136
2020-06-20,22430.0,144148.0,924.0,121224.0,2990.6666666666665,19219.733333333334,0.13333333333333333,515.89,103.178,1921.9733333333334,1.0303383897316218,0.006410034061977537
2020-06-21,22446.0,145011.0,863.0,122067.0,2992.8,19334.8,0.13333333333333333,516.258,103.25160000000001,1933.48,1.0193401592718998,0.005951231622210576
2020-06-22,22589.0,145940.0,929.0,122849.0,3011.866666666667,19458.666666666668,0.13333333333333333,519.547,103.9094,1945.8666666666666,0.9964580873671782,0.006365586093010189
2020-06-23,22642.0,146839.0,899.0,123690.0,3018.9333333333334,19578.533333333333,0.13333333333333333,520.766,104.1532,1957.8533333333332,1.0076335877862594,0.006122309997275947
2020-06-24,22711.0,147709.0,870.0,124488.0,3028.133333333333,19694.533333333333,0.13333333333333333,522.353,104.47059999999999,1969.4533333333334,1.0070921985815602,0.0058899194367341414
2020-06-25,22845.0,148636.0,927.0,125280.0,3046.0,19818.13333333333,0.13333333333333333,525.435,105.08699999999999,1981.8133333333333,1.0262172284644195,0.006236670546364633
2020-06-26,22918.0,149578.0,942.0,126144.0,3055.733333333333,19943.733333333334,0.13333333333333333,527.114,105.42280000000001,1994.3733333333332,0.9924337957124842,0.006297675475835512
2020-06-27,23017.0,150534.0,956.0,126997.0,3068.9333333333334,20071.2,0.13333333333333333,529.391,105.87819999999999,2007.12,0.9884925201380897,0.0063506825655163255
